SourcePackage,TargetPackage,DatabaseGroup,RootMotionEnabled,RootLock,ForceRootLock,NormalizedRootMotionScale,CurvePolicy,NotifyPolicy,CleanupPolicy,RetargetProfile
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_Loop_Fall,/RpgGaspLocomotion/Animations/Jump/Airborne/M_Neutral_Jump_Loop_Fall,Jump.Airborne,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Stand_Light_Lfoot,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Stand_Light_Lfoot,Jump.Land.Idle.Light,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Stand_Light_Lfoot,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Stand_Light_Lfoot,Jump.Land.Idle.Light,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_LL_Land_Stand_Light_Lfoot,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_LL_Land_Stand_Light_Lfoot,Jump.Land.Idle.Light,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_RL_Land_Stand_Light_Rfoot,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_RL_Land_Stand_Light_Rfoot,Jump.Land.Idle.Light,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Stand_Heavy_Lfoot,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Stand_Heavy_Lfoot,Jump.Land.Idle.Heavy,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Stand_Heavy_Lfoot,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Stand_Heavy_Lfoot,Jump.Land.Idle.Heavy,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_LL_Land_Stand_Heavy_Lfoot,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_LL_Land_Stand_Heavy_Lfoot,Jump.Land.Idle.Heavy,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_RL_Land_Stand_Heavy_Rfoot,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_RL_Land_Stand_Heavy_Rfoot,Jump.Land.Idle.Heavy,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Walk_Light,/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Walk_Light,Jump.Land.Walk.Light,true,RefPose,true,true,preserved_from_source,native_PoseSearch_only,removed_Foley_EarlyTransition_BranchIn_and_sample_user_data,gasp_ue5_8_stock
