TargetPackage,SourceMaxKneeDegrees,SourceNearStraightFraction
/RpgGaspLocomotion/Animations/Jump/Airborne/M_Neutral_Jump_Loop_Fall,151.027495,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Stand_Light_Lfoot,163.752936,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Stand_Light_Lfoot,165.640296,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_LL_Land_Stand_Light_Lfoot,164.203552,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_RL_Land_Stand_Light_Rfoot,164.539540,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Stand_Heavy_Lfoot,163.752936,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Stand_Heavy_Lfoot,163.752936,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_LL_Land_Stand_Heavy_Lfoot,163.752936,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_RL_Land_Stand_Heavy_Rfoot,164.137586,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Walk_Light,169.527819,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Walk_Light_Lfoot,170.427241,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Walk_Light_Rfoot,171.096324,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_LL_Land_Walk_Light,168.565022,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_RL_Land_Walk_Light,165.236960,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Walk_Heavy,161.544441,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Walk_Heavy_Lfoot,177.504206,0.015037594
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_LL_Land_Walk_Heavy,168.523043,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_RL_Land_Walk_Heavy,165.451952,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Run_Light,164.145317,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Run_Light_Lfoot,164.317250,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Run_Light_Rfoot,166.968066,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_LL_Land_Run_Light,157.469053,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_RL_Land_Run_Light,155.073319,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_B_Land_Run_Heavy,162.119421,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Run_Heavy_Lfoot,161.733112,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_F_Land_Run_Heavy_Rfoot,160.225394,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_LL_Land_Run_Heavy,157.227560,0.000000000
/RpgGaspLocomotion/Animations/Jump/Lands/M_Neutral_Jump_RL_Land_Run_Heavy,162.792489,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_B_Start_Lfoot,164.486158,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_B_Start_Rfoot,169.897818,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Off_Run_Lfoot,165.426081,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Off_Run_Rfoot,166.296401,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Off_Walk_Lfoot,175.324373,0.008000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Off_Walk_Rfoot,175.935560,0.023622047
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Start_Run_Lfoot,162.217353,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Start_Run_Rfoot,158.408697,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Start_Sprint_Lfoot,156.105028,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Start_Sprint_Rfoot,166.337494,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Start_Stand_Lfoot,177.504205,0.006622517
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Start_Stand_Rfoot,162.532504,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Start_Walk_Lfoot,172.401531,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_F_Start_Walk_Rfoot,170.677668,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_LL_Start_Lfoot,169.656909,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_LL_Start_Rfoot,171.427898,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_RL_Start_Lfoot,164.398784,0.000000000
/RpgGaspLocomotion/Animations/Jump/Starts/M_Neutral_Jump_RL_Start_Rfoot,162.146585,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Idle_Loop,166.258095,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Turn_045_L,165.744214,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Turn_045_R,163.752937,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Turn_090_L,165.137162,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Turn_090_R,164.697633,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Turn_135_L,168.483713,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Turn_135_R,164.188087,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Turn_180_L,163.885741,0.000000000
/RpgGaspLocomotion/Animations/Stand/Idle/M_Neutral_Stand_Turn_180_R,163.752954,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Arc_Small_L,177.504196,0.021582734
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Arc_Small_R,166.751866,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_B,162.275054,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_BL,174.480311,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_BR,165.085128,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_F,173.235284,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_FL,168.493862,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_FR,171.298450,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_LL,158.704399,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_LR,155.417458,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Loop_RL,154.605646,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_B_F_Lfoot,167.610392,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_B_F_Rfoot,171.742007,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_BL_FR_Lfoot,161.489742,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_BL_FR_Rfoot,176.977691,0.006097561
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_BR_FL_Lfoot,167.403003,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_BR_FL_Rfoot,166.778156,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_F_B_Lfoot,177.504197,0.005102041
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_F_B_Rfoot,169.372903,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_FL_BR_Lfoot,169.639166,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_FL_BR_Rfoot,168.477434,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_FR_BL_Lfoot,167.630867,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_FR_BL_Rfoot,163.959763,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_LL_RL_Lfoot,177.504196,0.005208333
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_LL_RL_Rfoot,171.593517,0.000000000
/RpgGaspLocomotion/Animations/Stand/Run/M_Neutral_Run_Pivot_LR_RR_Lfoot,155.926550,0.000000000
